l_image,r_image,target_sound,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,key_instruct.started,welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,start.started,start_Lrectangle.started,start_Rrecntangle.started,start_L_image.started,start_R_image.started,star.started,star_mouse.started,start.stopped,star_mouse.x,star_mouse.y,star_mouse.leftButton,star_mouse.midButton,star_mouse.rightButton,star_mouse.time,star_mouse.clicked_name,trial.started,right_rectangle.started,left_rectangle.started,left_image.started,right_image.started,trail_sound.started,trial_mouse.started,trail_sound.stopped,trial.stopped,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.004005999999208143,0.01675709999835817,4.400242399999115,space,4.305464899996878,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506721,001,2024-11-27_13h55.16.697,individual assignment animal,2024.1.5,None,2024-11-27 13h55.27.778364 +0530,
C:\Users\HP\Downloads\individual assignment\dog.png,C:\Users\HP\Downloads\individual assignment\pig.png,C:\Users\HP\Downloads\individual assignment\dog.wav,C:\Users\HP\Downloads\individual assignment\dog.png,0,0,0,0,4.449664899999334,,,,,,,,4.406981999996788,4.449664899999334,4.449664899999334,4.449664899999334,4.449664899999334,4.449664899999334,0.027894800001377007,5.247322100000019,[0.010185185185185186],[-0.026851851851851852],[1],[0],[0],[0.8181292999979632],['star'],5.249255099999573,5.275921499996912,5.275921499996912,5.275921499996912,5.275921499996912,5.277198533331587,0.019995999999082414,6.907243699999526,10.565588899997238,[-0.2898148148148148],[0.003703703703703704],[1],[0],[0],[5.2951725000020815],"['left_image', 'left_rectangle']",506721,001,2024-11-27_13h55.16.697,individual assignment animal,2024.1.5,None,2024-11-27 13h55.27.778364 +0530,
C:\Users\HP\Downloads\individual assignment\parrot.png,C:\Users\HP\Downloads\individual assignment\piegon.png,C:\Users\HP\Downloads\individual assignment\1732375047288jmx5n7yf-voicemaker.in-speech.wav,"C:\Users\HP\Downloads\individual assignment\parrot.png",0,1,1,1,10.590748599999642,,,,,,,,10.567558099999587,10.590748599999642,10.590748599999642,10.590748599999642,10.590748599999642,10.590748599999642,0.015001799998572096,11.563128699999652,[-0.000925925925925926],[0.014814814814814815],[1],[0],[0],[0.9799654999987979],['star'],11.563757399999304,11.589844999998604,11.589844999998604,11.589844999998604,11.589844999998604,11.594760133332361,0.018231800000648946,,13.311918600000354,[-0.262037037037037],[0.023148148148148147],[1],[0],[0],[1.7285758999969403],"['left_image', 'left_rectangle']",506721,001,2024-11-27_13h55.16.697,individual assignment animal,2024.1.5,None,2024-11-27 13h55.27.778364 +0530,
C:\Users\HP\Downloads\individual assignment\pig.png,C:\Users\HP\Downloads\individual assignment\dog.png,C:\Users\HP\Downloads\individual assignment\pig.wav,C:\Users\HP\Downloads\individual assignment\pig.png,0,2,2,2,13.340330600000016,,,,,,,,13.31345169999986,13.340330600000016,13.340330600000016,13.340330600000016,13.340330600000016,13.340330600000016,0.019524399998772424,15.960223599999154,"[0.04722222222222222, 0.03611111111111111, -0.03148148148148148]","[0.004629629629629629, 0.002777777777777778, -0.007407407407407408]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.8107606999983545, 1.8269561000015528, 2.6268940000009025]",['star'],15.961007699999755,16.033188999997947,16.033188999997947,16.033188999997947,16.033188999997947,16.024920166663893,0.06388309999965713,,17.45988849999776,[-0.3537037037037037],[0.01574074074074074],[1],[0],[0],[1.4340784000014537],"['left_image', 'left_rectangle']",506721,001,2024-11-27_13h55.16.697,individual assignment animal,2024.1.5,None,2024-11-27 13h55.27.778364 +0530,
C:\Users\HP\Downloads\individual assignment\maina.png,C:\Users\HP\Downloads\individual assignment\sparrow_.png,C:\Users\HP\Downloads\individual assignment\1732467382297lq2i0ywk-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\sparrow_.png,0,3,3,3,17.512540299998363,,,,,,,,17.476514199999656,17.512540299998363,17.512540299998363,17.512540299998363,17.512540299998363,17.512540299998363,0.028199600001244107,18.409961899997143,[-0.000925925925925926],[0.011111111111111112],[1],[0],[0],[0.9047145000004093],['star'],18.410649999997986,18.480555299996922,18.480555299996922,18.480555299996922,18.480555299996922,18.47465906666645,0.06223400000089896,,19.659023699998215,[0.2740740740740741],[0.022222222222222223],[1],[0],[0],[1.1853274999994028],"['right_image', 'right_rectangle']",506721,001,2024-11-27_13h55.16.697,individual assignment animal,2024.1.5,None,2024-11-27 13h55.27.778364 +0530,
C:\Users\HP\Downloads\individual assignment\laopard.png,C:\Users\HP\Downloads\individual assignment\cheetah.png,C:\Users\HP\Downloads\individual assignment\cheetah.wav,C:\Users\HP\Downloads\individual assignment\cheetah.png,0,4,4,4,19.895827499996813,,,,,,,,19.6747269999978,19.895827499996813,19.895827499996813,19.895827499996813,19.895827499996813,19.895827499996813,0.21283469999980298,20.67610109999805,[-0.010185185185185186],[-0.010185185185185186],[1],[0],[0],[0.7878691000005347],['star'],20.6767723999983,20.855986299997312,20.855986299997312,20.855986299997312,20.855986299997312,20.857643733331255,0.17081559999860474,,22.092972700000246,[0.31203703703703706],[0.012037037037037037],[1],[0],[0],[1.244338799999241],"['right_image', 'right_rectangle']",506721,001,2024-11-27_13h55.16.697,individual assignment animal,2024.1.5,None,2024-11-27 13h55.27.778364 +0530,
C:\Users\HP\Downloads\individual assignment\girrage image.png,C:\Users\HP\Downloads\individual assignment\elephant.png,C:\Users\HP\Downloads\individual assignment\ElevenLabs_2024-11-23T09_20_06_Rachel_pre_s50_sb75_se0_b_m2.wav,C:\Users\HP\Downloads\individual assignment\elephant.png,0,5,5,5,22.532956699997158,,,,,,,,22.093836599997303,22.532956699997158,22.532956699997158,22.532956699997158,22.532956699997158,22.532956699997158,0.42042900000160444,23.52595519999886,[-0.010185185185185186],[0.009259259259259259],[1],[0],[0],[1.0107390999983181],['star'],23.526777499999298,23.818652799996926,23.818652799996926,23.818652799996926,23.818652799996926,23.807472333330708,0.273237400000653,,24.758880299999873,[-0.29444444444444445],[0.05925925925925926],[1],[0],[0],[0.9580552999977954],"['left_image', 'left_rectangle']",506721,001,2024-11-27_13h55.16.697,individual assignment animal,2024.1.5,None,2024-11-27 13h55.27.778364 +0530,
,,,,,,,,25.073117799998727,,,,,,,,24.7656141999978,25.073117799998727,25.073117799998727,25.073117799998727,25.073117799998727,25.073117799998727,0.299618000000919,25.824846899999102,[-0.004629629629629629],[-0.010185185185185186],[1],[0],[0],[0.7588802999998734],['star'],25.82551439999952,25.991720799996983,25.991720799996983,25.991720799996983,25.991720799996983,25.9897433666653,0.15998799999943003,,,,,,,,,,,,,,,,,
