l_image,r_image,target_sound,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,key_instruct.started,welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,start.started,start_Lrectangle.started,start_Rrecntangle.started,start_L_image.started,start_R_image.started,star.started,star_mouse.started,start.stopped,star_mouse.x,star_mouse.y,star_mouse.leftButton,star_mouse.midButton,star_mouse.rightButton,star_mouse.time,star_mouse.clicked_name,trial.started,right_rectangle.started,left_rectangle.started,left_image.started,right_image.started,trail_sound.started,trial_mouse.started,trial.stopped,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.003235399999539368,0.01161649999266956,5.378200699997251,space,5.2920640999946045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-11-28_14h30.06.868,individual assignment animal,2024.1.5,None,2024-11-28 14h30.14.028996 +0530,
C:\Users\HP\Downloads\individual assignment\dog.png,C:\Users\HP\Downloads\individual assignment\pig.png,C:\Users\HP\Downloads\individual assignment\dog.wav,C:\Users\HP\Downloads\individual assignment\dog.png,0,0,0,0,5.411796200001845,,,,,,,,5.384043300000485,5.411796200001845,5.411796200001845,5.411796200001845,5.411796200001845,5.411796200001845,0.014931199999409728,6.483538799991948,[-0.008333333333333333],[-0.005555555555555556],[1],[0],[0],[1.0889036000007764],['star'],6.485114800001611,6.507004600003711,6.507004600003711,6.507004600003711,6.507004600003711,6.5132731333365275,0.014978000006522052,7.2813117999903625,[-0.25925925925925924],[0.03611111111111111],[1],[0],[0],[0.7804326999903424],"['left_image', 'left_rectangle']",1,001,2024-11-28_14h30.06.868,individual assignment animal,2024.1.5,None,2024-11-28 14h30.14.028996 +0530,
C:\Users\HP\Downloads\individual assignment\parrot.png,C:\Users\HP\Downloads\individual assignment\piegon.png,C:\Users\HP\Downloads\individual assignment\1732375047288jmx5n7yf-voicemaker.in-speech.wav,"C:\Users\HP\Downloads\individual assignment\parrot.png",0,1,1,1,7.311996699994779,,,,,,,,7.292303800000809,7.311996699994779,7.311996699994779,7.311996699994779,7.311996699994779,7.311996699994779,0.01181199999700766,8.165193499997258,[0.025925925925925925],[0.025],[1],[0],[0],[0.8602845999994315],['star'],8.166147900003125,8.185479699997813,8.185479699997813,8.185479699997813,8.185479699997813,8.196410133336517,0.013739699992584065,9.498874500000966,[-0.20277777777777778],[0.08888888888888889],[1],[0],[0],[1.3177705999987666],"['left_image', 'left_rectangle']",1,001,2024-11-28_14h30.06.868,individual assignment animal,2024.1.5,None,2024-11-28 14h30.14.028996 +0530,
C:\Users\HP\Downloads\individual assignment\pig.png,C:\Users\HP\Downloads\individual assignment\dog.png,C:\Users\HP\Downloads\individual assignment\pig.wav,C:\Users\HP\Downloads\individual assignment\pig.png,0,2,2,2,9.519178100003046,,,,,,,,9.499910200000159,9.519178100003046,9.519178100003046,9.519178100003046,9.519178100003046,9.519178100003046,0.012560899995150976,10.346607300001779,[0.002777777777777778],[0.014814814814814815],[1],[0],[0],[0.8335821999935433],['star'],10.347142200000235,10.365546300003189,10.365546300003189,10.365546300003189,10.365546300003189,10.36166586666174,0.011153599989484064,11.598027899992303,[-0.19074074074074074],[0.07777777777777778],[1],[0],[0],[1.2384987999976147],"['left_image', 'left_rectangle']",1,001,2024-11-28_14h30.06.868,individual assignment animal,2024.1.5,None,2024-11-28 14h30.14.028996 +0530,
C:\Users\HP\Downloads\individual assignment\maina.png,C:\Users\HP\Downloads\individual assignment\sparrow_.png,C:\Users\HP\Downloads\individual assignment\1732467382297lq2i0ywk-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\sparrow_.png,0,3,3,3,11.634292899994762,,,,,,,,11.61256969999522,11.634292899994762,11.634292899994762,11.634292899994762,11.634292899994762,11.634292899994762,0.014323900002636947,12.446826400002465,[0.010185185185185186],[0.014814814814814815],[1],[0],[0],[0.8194285000063246],['star'],12.44739970000228,12.471576600000844,12.471576600000844,12.471576600000844,12.471576600000844,12.478609233331131,0.015455500004463829,14.064013800001703,[0.2777777777777778],[0.03333333333333333],[1],[0],[0],[1.6000525999988895],"['right_image', 'right_rectangle']",1,001,2024-11-28_14h30.06.868,individual assignment animal,2024.1.5,None,2024-11-28 14h30.14.028996 +0530,
C:\Users\HP\Downloads\individual assignment\laopard.png,C:\Users\HP\Downloads\individual assignment\cheetah.png,C:\Users\HP\Downloads\individual assignment\cheetah.wav,C:\Users\HP\Downloads\individual assignment\cheetah.png,0,4,4,4,14.19964799999434,,,,,,,,14.06487049999123,14.19964799999434,14.19964799999434,14.19964799999434,14.19964799999434,14.19964799999434,0.1277739999932237,14.931260700002895,[0.006481481481481481],[-0.006481481481481481],[1],[0],[0],[0.7375304999877699],['star'],14.932015300000785,15.05575119999412,15.05575119999412,15.05575119999412,15.05575119999412,15.061840133335986,0.11706809999304824,15.963535000002594,[0.2824074074074074],[0.05555555555555555],[1],[0],[0],[0.913674199997331],"['right_image', 'right_rectangle']",1,001,2024-11-28_14h30.06.868,individual assignment animal,2024.1.5,None,2024-11-28 14h30.14.028996 +0530,
C:\Users\HP\Downloads\individual assignment\girrage image.png,C:\Users\HP\Downloads\individual assignment\elephant.png,C:\Users\HP\Downloads\individual assignment\ElevenLabs_2024-11-23T09_20_06_Rachel_pre_s50_sb75_se0_b_m2.wav,C:\Users\HP\Downloads\individual assignment\elephant.png,0,5,5,5,16.297766399991815,,,,,,,,15.972034699996584,16.297766399991815,16.297766399991815,16.297766399991815,16.297766399991815,16.297766399991815,0.3060123999894131,16.980560999989393,[0.003703703703703704],[-0.023148148148148147],[1],[0],[0],[0.701392399991164],['star'],16.98145249999652,17.24294519999239,17.24294519999239,17.24294519999239,17.24294519999239,17.228105100002722,0.24005680000118446,18.44763629999943,[0.275],[0.03333333333333333],[1],[0],[0],[1.2246139000053518],"['right_image', 'right_rectangle']",1,001,2024-11-28_14h30.06.868,individual assignment animal,2024.1.5,None,2024-11-28 14h30.14.028996 +0530,
C:\Users\HP\Downloads\individual assignment\goat.png,C:\Users\HP\Downloads\individual assignment\squirrel.png,C:\Users\HP\Downloads\individual assignment\squirrel voice.wav,C:\Users\HP\Downloads\individual assignment\squirrel.png,0,6,6,6,18.622941800000262,,,,,,,,18.451887799994438,18.622941800000262,18.622941800000262,18.622941800000262,18.622941800000262,18.622941800000262,0.16486970000551082,19.31309979999787,[-0.004629629629629629],[-0.003703703703703704],[1],[0],[0],[0.6953844999952707],['star'],19.314383999997517,19.46496679999109,19.46496679999109,19.46496679999109,19.46496679999109,19.477490066662234,0.14671739999903366,20.445890100003453,[0.2675925925925926],[0.09074074074074075],[1],[0],[0],[0.9839527000003727],"['right_image', 'right_rectangle']",1,001,2024-11-28_14h30.06.868,individual assignment animal,2024.1.5,None,2024-11-28 14h30.14.028996 +0530,
C:\Users\HP\Downloads\individual assignment\cow.png,C:\Users\HP\Downloads\individual assignment\deer.png,C:\Users\HP\Downloads\individual assignment\1732376745479kcscs2c-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\deer.png,0,7,7,7,20.47242799999367,,,,,,,,20.452093500003684,20.47242799999367,20.47242799999367,20.47242799999367,20.47242799999367,20.47242799999367,0.012470200003008358,22.228961699991487,"[-0.03148148148148148, -0.018518518518518517]","[0.004629629629629629, -0.000925925925925926]","[1, 1]","[0, 0]","[0, 0]","[0.7968563000031281, 1.7632461000030162]",['star'],22.229716200003168,22.251787699991837,22.251787699991837,22.251787699991837,22.251787699991837,22.259991933322937,0.014389300005859695,23.313677600002848,[0.3277777777777778],[0.03981481481481482],[1],[0],[0],[1.0680202999938047],"['right_image', 'right_rectangle']",1,001,2024-11-28_14h30.06.868,individual assignment animal,2024.1.5,None,2024-11-28 14h30.14.028996 +0530,
C:\Users\HP\Downloads\individual assignment\png-transparent-dromedary-bactrian-camel-camel-football-s-image-file-formats-terrestrial-animal-snout.png,C:\Users\HP\Downloads\individual assignment\panda.png,C:\Users\HP\Downloads\individual assignment\camel.wav,C:\Users\HP\Downloads\individual assignment\png-transparent-dromedary-bactrian-camel-camel-football-s-image-file-formats-terrestrial-animal-snout.png,0,8,8,8,23.335355100003653,,,,,,,,23.314765000002808,23.335355100003653,23.335355100003653,23.335355100003653,23.335355100003653,23.335355100003653,0.013526700000511482,24.19487009999284,[0.007407407407407408],[0.006481481481481481],[1],[0],[0],[0.8657147000049008],['star'],24.195550699994783,24.22019469999941,24.22019469999941,24.22019469999941,24.22019469999941,24.226207333333633,0.01711460000660736,25.579050699991058,[-0.2935185185185185],[0.1287037037037037],[1],[0],[0],[1.3648958999983734],"['left_image', 'left_rectangle']",1,001,2024-11-28_14h30.06.868,individual assignment animal,2024.1.5,None,2024-11-28 14h30.14.028996 +0530,
