l_image,r_image,target_sound,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,key_instruct.started,welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,start.started,start_Lrectangle.started,start_Rrecntangle.started,start_L_image.started,start_R_image.started,star.started,star_mouse.started,start.stopped,star_mouse.x,star_mouse.y,star_mouse.leftButton,star_mouse.midButton,star_mouse.rightButton,star_mouse.time,star_mouse.clicked_name,trial.started,right_rectangle.started,left_rectangle.started,left_image.started,right_image.started,trail_sound.started,trial_mouse.started,trial.stopped,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.004167799997958355,0.017556899998453446,0.7544433000002755,space,0.7199392000038642,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2024-11-28_15h00.02.170,individual assignment animal,2024.1.5,None,2024-11-28 15h00.09.775073 +0530,
C:\Users\HP\Downloads\individual assignment\dog.png,C:\Users\HP\Downloads\individual assignment\pig.png,C:\Users\HP\Downloads\individual assignment\dog.wav,C:\Users\HP\Downloads\individual assignment\dog.png,0,0,0,0,0.8443057999975281,,,,,,,,0.8175893000006909,0.8443057999975281,0.8443057999975281,0.8443057999975281,0.8443057999975281,0.8443057999975281,0.0718271000077948,1.7344737000094028,[0.008333333333333333],[0.030555555555555555],[1],[0],[0],[0.9067704000044614],['star'],1.7359760000108508,1.7579190999967977,1.7579190999967977,1.7579190999967977,1.7579190999967977,1.7650399333438447,0.014842999997199513,2.3684806000092067,[0.225],[0.020370370370370372],[1],[0],[0],[0.6161780999973416],"['right_image', 'right_rectangle']",6,001,2024-11-28_15h00.02.170,individual assignment animal,2024.1.5,None,2024-11-28 15h00.09.775073 +0530,
C:\Users\HP\Downloads\individual assignment\parrot.png,C:\Users\HP\Downloads\individual assignment\piegon.png,C:\Users\HP\Downloads\individual assignment\1732375047288jmx5n7yf-voicemaker.in-speech.wav,"C:\Users\HP\Downloads\individual assignment\parrot.png",0,1,1,1,2.399972400002298,,,,,,,,2.3770613000087906,2.399972400002298,2.399972400002298,2.399972400002298,2.399972400002298,2.399972400002298,0.015223900001728907,3.2843812000064645,[-0.024074074074074074],[0.025925925925925925],[1],[0],[0],[0.8907370999950217],['star'],3.2853221999976085,3.34913790000428,3.34913790000428,3.34913790000428,3.34913790000428,3.348352266665703,0.05430069999420084,4.218393300005118,[0.2074074074074074],[0.030555555555555555],[1],[0],[0],[0.8771457999973791],"['right_image', 'right_rectangle']",6,001,2024-11-28_15h00.02.170,individual assignment animal,2024.1.5,None,2024-11-28 15h00.09.775073 +0530,
C:\Users\HP\Downloads\individual assignment\pig.png,C:\Users\HP\Downloads\individual assignment\dog.png,C:\Users\HP\Downloads\individual assignment\pig.wav,C:\Users\HP\Downloads\individual assignment\pig.png,0,2,2,2,4.248977499999455,,,,,,,,4.226313999999547,4.248977499999455,4.248977499999455,4.248977499999455,4.248977499999455,4.248977499999455,0.015790899997227825,5.232550000000629,[-0.010185185185185186],[0.004629629629629629],[1],[0],[0],[0.9897348999948008],['star'],5.233355800010031,5.251448000009987,5.251448000009987,5.251448000009987,5.251448000009987,5.247517966669208,0.012175399999250658,6.300611600003322,[0.2712962962962963],[-0.021296296296296296],[1],[0],[0],[1.0538678000011714],"['right_image', 'right_rectangle']",6,001,2024-11-28_15h00.02.170,individual assignment animal,2024.1.5,None,2024-11-28 15h00.09.775073 +0530,
C:\Users\HP\Downloads\individual assignment\maina.png,C:\Users\HP\Downloads\individual assignment\sparrow_.png,C:\Users\HP\Downloads\individual assignment\1732467382297lq2i0ywk-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\sparrow_.png,0,3,3,3,6.328496500005713,,,,,,,,6.306874000001699,6.328496500005713,6.328496500005713,6.328496500005713,6.328496500005713,6.328496500005713,0.014084900001762435,7.215664100003778,[0.012962962962962963],[0.006481481481481481],[1],[0],[0],[0.8940416999976151],['star'],7.216330199997174,7.2377431000059005,7.2377431000059005,7.2377431000059005,7.2377431000059005,7.230700666670843,0.01370419999875594,7.950077500005136,[0.41759259259259257],[-0.022222222222222223],[1],[0],[0],[0.7187170999968657],"['right_image', 'right_rectangle']",6,001,2024-11-28_15h00.02.170,individual assignment animal,2024.1.5,None,2024-11-28 15h00.09.775073 +0530,
C:\Users\HP\Downloads\individual assignment\laopard.png,C:\Users\HP\Downloads\individual assignment\cheetah.png,C:\Users\HP\Downloads\individual assignment\cheetah.wav,C:\Users\HP\Downloads\individual assignment\cheetah.png,0,4,4,4,8.093520399997942,,,,,,,,7.957492700006696,8.093520399997942,8.093520399997942,8.093520399997942,8.093520399997942,8.093520399997942,0.12943230000382755,8.883672500000102,[-0.006481481481481481],[-0.012962962962962963],[1],[0],[0],[0.7956005999876652],['star'],8.884618500000215,9.022587500003283,9.022587500003283,9.022587500003283,9.022587500003283,9.031008900003508,0.13085669999418315,9.566051600006176,[0.25925925925925924],[0.012962962962962963],[1],[0],[0],[0.5494181999965804],"['right_image', 'right_rectangle']",6,001,2024-11-28_15h00.02.170,individual assignment animal,2024.1.5,None,2024-11-28 15h00.09.775073 +0530,
,,,,,,,,9.914999900007388,,,,,,,,9.577641500000027,9.914999900007388,9.914999900007388,9.914999900007388,9.914999900007388,9.914999900007388,0.3182046000001719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
