l_image,r_image,target_sound,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,key_instruct.started,welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,start.started,start_Lrectangle.started,start_Rrecntangle.started,start_L_image.started,start_R_image.started,star.started,star_mouse.started,start.stopped,star_mouse.x,star_mouse.y,star_mouse.leftButton,star_mouse.midButton,star_mouse.rightButton,star_mouse.time,star_mouse.clicked_name,trial.started,right_rectangle.started,left_rectangle.started,left_image.started,right_image.started,trail_sound.started,trial_mouse.started,trial.stopped,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trail_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0038973000046098605,0.016159199993126094,1.163219800000661,space,1.1265348000015365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-11-28_14h32.29.363,individual assignment animal,2024.1.5,None,2024-11-28 14h32.46.187186 +0530,
C:\Users\HP\Downloads\individual assignment\dog.png,C:\Users\HP\Downloads\individual assignment\pig.png,C:\Users\HP\Downloads\individual assignment\dog.wav,C:\Users\HP\Downloads\individual assignment\dog.png,0,0,0,0,1.2525135000032606,,,,,,,,1.2251461999985622,1.2525135000032606,1.2525135000032606,1.2525135000032606,1.2525135000032606,1.2525135000032606,0.07120589999249205,2.2429267999978038,[0.012962962962962963],[0.026851851851851852],[1],[0],[0],[1.0073424000001978],['star'],2.2443704000033904,2.269068099994911,2.269068099994911,2.269068099994911,2.269068099994911,2.2738778333373677,0.016686300004948862,3.027684999993653,[-0.24351851851851852],[0.01574074074074074],[1],[0],[0],[0.7653791000047931],"['left_image', 'left_rectangle']",,4,001,2024-11-28_14h32.29.363,individual assignment animal,2024.1.5,None,2024-11-28 14h32.46.187186 +0530,
C:\Users\HP\Downloads\individual assignment\parrot.png,C:\Users\HP\Downloads\individual assignment\piegon.png,C:\Users\HP\Downloads\individual assignment\1732375047288jmx5n7yf-voicemaker.in-speech.wav,"C:\Users\HP\Downloads\individual assignment\parrot.png",0,1,1,1,3.06621200000518,,,,,,,,3.0461769999965327,3.06621200000518,3.06621200000518,3.06621200000518,3.06621200000518,3.06621200000518,0.012975299992831424,3.8759589999972377,[-0.02962962962962963],[0.010185185185185186],[1],[0],[0],[0.8160381999914534],['star'],3.8766272999928333,3.9001758999947924,3.9001758999947924,3.9001758999947924,3.9001758999947924,3.9071299333377585,0.01585829998657573,4.907978899995214,[-0.27870370370370373],[0.037037037037037035],[1],[0],[0],[1.014830100000836],"['left_image', 'left_rectangle']",,4,001,2024-11-28_14h32.29.363,individual assignment animal,2024.1.5,None,2024-11-28 14h32.46.187186 +0530,
C:\Users\HP\Downloads\individual assignment\pig.png,C:\Users\HP\Downloads\individual assignment\dog.png,C:\Users\HP\Downloads\individual assignment\pig.wav,C:\Users\HP\Downloads\individual assignment\pig.png,0,2,2,2,4.955163099992205,,,,,,,,4.940410499999416,4.955163099992205,4.955163099992205,4.955163099992205,4.955163099992205,4.955163099992205,0.007914299989352003,6.260370599993621,"[-0.04259259259259259, -0.003703703703703704]","[0.016666666666666666, 0.008333333333333333]","[1, 1]","[0, 0]","[0, 0]","[0.6596178000036161, 1.3106092999951215]",['star'],6.261389899998903,6.28407920000609,6.28407920000609,6.28407920000609,6.28407920000609,6.290079433333206,0.01584500000171829,7.774477600003593,[-0.26296296296296295],[0.05648148148148148],[1],[0],[0],[1.4963471999944886],"['left_image', 'left_rectangle']",,4,001,2024-11-28_14h32.29.363,individual assignment animal,2024.1.5,None,2024-11-28 14h32.46.187186 +0530,
C:\Users\HP\Downloads\individual assignment\maina.png,C:\Users\HP\Downloads\individual assignment\sparrow_.png,C:\Users\HP\Downloads\individual assignment\1732467382297lq2i0ywk-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\sparrow_.png,0,3,3,3,7.804849299995112,,,,,,,,7.785512200003723,7.804849299995112,7.804849299995112,7.804849299995112,7.804849299995112,7.804849299995112,0.01219660000060685,8.858609799994156,[-0.006481481481481481],[-0.013888888888888888],[1],[0],[0],[1.0598842999897897],['star'],8.859464499997557,8.880921999996644,8.880921999996644,8.880921999996644,8.880921999996644,8.88971193333467,0.014192599992384203,10.008167199994205,[0.35462962962962963],[0.13518518518518519],[1],[0],[0],[1.1336045999923954],"['right_image', 'right_rectangle']",,4,001,2024-11-28_14h32.29.363,individual assignment animal,2024.1.5,None,2024-11-28 14h32.46.187186 +0530,
C:\Users\HP\Downloads\individual assignment\laopard.png,C:\Users\HP\Downloads\individual assignment\cheetah.png,C:\Users\HP\Downloads\individual assignment\cheetah.wav,C:\Users\HP\Downloads\individual assignment\cheetah.png,0,4,4,4,10.136693899999955,,,,,,,,10.028756600004272,10.136693899999955,10.136693899999955,10.136693899999955,10.136693899999955,10.136693899999955,0.10105630000180099,10.959487200001604,[-0.007407407407407408],[0.003703703703703704],[1],[0],[0],[0.828501399999368],['star'],10.9605573000008,11.079046900005778,11.079046900005778,11.079046900005778,11.079046900005778,11.072835966666268,0.11143640000955202,12.12541880000208,[0.4046296296296296],[0.16203703703703703],[1],[0],[0],[1.0520990999939386],"['right_image', 'right_rectangle']",,4,001,2024-11-28_14h32.29.363,individual assignment animal,2024.1.5,None,2024-11-28 14h32.46.187186 +0530,
C:\Users\HP\Downloads\individual assignment\girrage image.png,C:\Users\HP\Downloads\individual assignment\elephant.png,C:\Users\HP\Downloads\individual assignment\ElevenLabs_2024-11-23T09_20_06_Rachel_pre_s50_sb75_se0_b_m2.wav,C:\Users\HP\Downloads\individual assignment\elephant.png,0,5,5,5,12.385376799997175,,,,,,,,12.136528100003488,12.385376799997175,12.385376799997175,12.385376799997175,12.385376799997175,12.385376799997175,0.23131529999955092,13.207276300003286,[0.008333333333333333],[-0.003703703703703704],[1],[0],[0],[0.8394187999947462],['star'],13.20787329999439,13.481959900003858,13.481959900003858,13.481959900003858,13.481959900003858,13.472083766672101,0.2558411000063643,14.624463000000105,[0.3925925925925926],[0.08796296296296297],[1],[0],[0],[1.159703700002865],"['right_image', 'right_rectangle']",,4,001,2024-11-28_14h32.29.363,individual assignment animal,2024.1.5,None,2024-11-28 14h32.46.187186 +0530,
C:\Users\HP\Downloads\individual assignment\goat.png,C:\Users\HP\Downloads\individual assignment\squirrel.png,C:\Users\HP\Downloads\individual assignment\squirrel voice.wav,C:\Users\HP\Downloads\individual assignment\squirrel.png,0,6,6,6,14.816064800004824,,,,,,,,14.636120499999379,14.816064800004824,14.816064800004824,14.816064800004824,14.816064800004824,14.816064800004824,0.17341980000492185,15.590743399996427,[-0.01574074074074074],[0.009259259259259259],[1],[0],[0],[0.7802926000003936],['star'],15.591530499994406,15.738873299997067,15.738873299997067,15.738873299997067,15.738873299997067,15.738037199995597,0.14145929999358486,16.756933800003026,[0.31851851851851853],[0.06296296296296296],[1],[0],[0],[1.022550699999556],"['right_image', 'right_rectangle']",,4,001,2024-11-28_14h32.29.363,individual assignment animal,2024.1.5,None,2024-11-28 14h32.46.187186 +0530,
C:\Users\HP\Downloads\individual assignment\cow.png,C:\Users\HP\Downloads\individual assignment\deer.png,C:\Users\HP\Downloads\individual assignment\1732376745479kcscs2c-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\deer.png,0,7,7,7,16.782238400002825,,,,,,,,16.76563169999281,16.782238400002825,16.782238400002825,16.782238400002825,16.782238400002825,16.782238400002825,0.009972400002880022,17.523809099991922,[0.002777777777777778],[-0.011111111111111112],[1],[0],[0],[0.7472248999984004],['star'],17.524397699991823,17.545304899991606,17.545304899991606,17.545304899991606,17.545304899991606,17.538133266662285,0.012584800002514385,18.655219199994463,[0.24166666666666667],[0.03611111111111111],[1],[0],[0],[1.117558600002667],"['right_image', 'right_rectangle']",,4,001,2024-11-28_14h32.29.363,individual assignment animal,2024.1.5,None,2024-11-28 14h32.46.187186 +0530,
C:\Users\HP\Downloads\individual assignment\png-transparent-dromedary-bactrian-camel-camel-football-s-image-file-formats-terrestrial-animal-snout.png,C:\Users\HP\Downloads\individual assignment\panda.png,C:\Users\HP\Downloads\individual assignment\camel.wav,C:\Users\HP\Downloads\individual assignment\png-transparent-dromedary-bactrian-camel-camel-football-s-image-file-formats-terrestrial-animal-snout.png,0,8,8,8,18.6720662000007,,,,,,,,18.655720599999768,18.6720662000007,18.6720662000007,18.6720662000007,18.6720662000007,18.6720662000007,0.007982700000866316,19.538749300001655,[-0.01574074074074074],[-0.000925925925925926],[1],[0],[0],[0.8744760999979917],['star'],19.539341399999103,19.557817399996566,19.557817399996566,19.557817399996566,19.557817399996566,19.55380896666999,0.011038399999961257,20.724282199997106,[-0.2722222222222222],[0.05092592592592592],[1],[0],[0],[1.173176299998886],"['left_image', 'left_rectangle']",,4,001,2024-11-28_14h32.29.363,individual assignment animal,2024.1.5,None,2024-11-28 14h32.46.187186 +0530,
